Aggregated_Location_ID,From,To,Coefficient,MinimumCount,MaximumCount
21,2010/01/01,2018/10/12,1.46,0,29
21,2010/01/01,2018/10/12,1.32,30,59
21,2010/01/01,2018/10/12,1.28,60,99999
22,2010/01/01,2018/10/12,1.46,0,29
22,2010/01/01,2018/10/12,1.32,30,59
22,2010/01/01,2018/10/12,1.28,60,99999
160,2010/01/01,2018/10/12,1.46,0,29
160,2010/01/01,2018/10/12,1.32,30,59
160,2010/01/01,2018/10/12,1.28,60,99999
159,2010/01/01,2018/10/12,1.46,0,29
159,2010/01/01,2018/10/12,1.32,30,59
159,2010/01/01,2018/10/12,1.28,60,99999
51,2010/01/01,2018/10/12,1.33,0,49
51,2010/01/01,2018/10/12,1.27,50,79
51,2010/01/01,2018/10/12,1.25,80,99999
52,2010/01/01,2018/10/12,1.33,0,49
52,2010/01/01,2018/10/12,1.27,50,79
52,2010/01/01,2018/10/12,1.25,80,99999
36,2010/01/01,2018/10/12,1.32,0,99999
133,2010/01/01,2018/10/12,1.32,0,99999
15,2010/01/01,2018/10/12,1.47,0,99999
145,2010/01/01,2018/10/12,1.47,0,99999
69,2010/01/01,2018/10/12,1.1,0,99999
170,2010/01/01,2018/10/12,1.1,0,99999
132,2010/01/01,2018/10/12,1.4,0,34
132,2010/01/01,2018/10/12,1.3,35,99999
130,2010/01/01,2018/10/12,1.4,0,34
130,2010/01/01,2018/10/12,1.3,35,99999
46,2010/01/01,2018/10/12,1.36,0,39
46,2010/01/01,2018/10/12,1.32,40,59
46,2010/01/01,2018/10/12,1.27,60,99999
141,2010/01/01,2018/10/12,1.36,0,39
141,2010/01/01,2018/10/12,1.32,40,59
141,2010/01/01,2018/10/12,1.27,60,99999
94,2010/01/01,2018/10/12,1.1,0,99999
167,2010/01/01,2018/10/12,1.1,0,99999
131,2010/01/01,2018/10/12,1.6,0,19
131,2010/01/01,2018/10/12,1.45,20,40
131,2010/01/01,2018/10/12,1.3,41,99999
67,2010/01/01,2018/10/12,1.6,0,19
67,2010/01/01,2018/10/12,1.45,20,40
67,2010/01/01,2018/10/12,1.3,41,99999
137,2010/01/01,2018/10/12,1.33,0,49
137,2010/01/01,2018/10/12,1.32,50,69
137,2010/01/01,2018/10/12,1.27,70,99999
19,2010/01/01,2018/10/12,1.33,0,49
19,2010/01/01,2018/10/12,1.32,50,69
19,2010/01/01,2018/10/12,1.27,70,99999
80,2010/01/01,2018/10/12,1.25,0,99999
